ID_no,Using_socmed_on_purpose,Considered_as_distraction,Feeling_restless,Worried,Hard_time_to_concentrate,Feeling_jealous_insecure,Seeking_validation,Depressed,Inconsistent_daily_activities,Sleeping_issues
278,No,No,No,No,No,No,No,No,No,No
279,Yes,Yes,Neither,Yes,Neither,Yes,No,Yes,Yes,Yes
280,Yes,Yes,Neither,Yes,Yes,Neither,Neither,Yes,Yes,Yes
281,Yes,Yes,No,Yes,Yes,Neither,No,Neither,Yes,Yes
282,Yes,Neither,No,No,Neither,No,Neither,No,Neither,No
283,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
284,Neither,Neither,No,Yes,No,No,Yes,Yes,No,No
285,No,No,No,Yes,No,No,Neither,Neither,No,Yes
286,Neither,Yes,No,No,Neither,Neither,Neither,Neither,Yes,Yes
287,Neither,No,No,Yes,Neither,Neither,No,Yes,No,Neither
288,Yes,Yes,Neither,Yes,Yes,No,Neither,Yes,Yes,Yes
289,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
290,Neither,Neither,No,No,No,No,Yes,No,No,No
291,No,No,Neither,Yes,Yes,Neither,No,No,No,No
292,No,No,Yes,Yes,No,Yes,No,Yes,No,No
293,Yes,No,Neither,Yes,Yes,Yes,Neither,Yes,Neither,Yes
294,Neither,Yes,No,Yes,Yes,No,No,Neither,Neither,No
295,No,Neither,No,Neither,Neither,Yes,Neither,Yes,Neither,Neither
296,Neither,Yes,Yes,Yes,Neither,Neither,Neither,Yes,No,Yes
297,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
298,Yes,Yes,Neither,No,Yes,No,Yes,Yes,Yes,No
299,Yes,Yes,Yes,Neither,Yes,Yes,No,Yes,Yes,Yes
300,No,Yes,No,Yes,Neither,Yes,No,Neither,Neither,No
301,Yes,Yes,Yes,Yes,Yes,Neither,Neither,Neither,Yes,No
302,Yes,Yes,Yes,Yes,Neither,Yes,No,Yes,Yes,Neither
303,Yes,Neither,No,No,No,No,Yes,No,Yes,No
304,Neither,No,No,Yes,No,No,Neither,No,Neither,Yes
305,Neither,Neither,No,Yes,No,No,No,No,Neither,No
306,Yes,Neither,No,Yes,Neither,Neither,No,Yes,Yes,Yes
307,Yes,Neither,No,Yes,Yes,No,No,Neither,Yes,Yes
308,No,Yes,Yes,Neither,Yes,No,Neither,No,Yes,No
309,No,Neither,No,Yes,Yes,Neither,No,Yes,Yes,Yes
310,Yes,No,Yes,Yes,Yes,Neither,No,Yes,Yes,Yes
311,Yes,Neither,Neither,Yes,Yes,Yes,Neither,Neither,Neither,Yes
312,No,No,No,Yes,No,No,No,Neither,No,Neither
313,Yes,Yes,Yes,Neither,Yes,Neither,No,Yes,Yes,Yes
314,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
315,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
316,Neither,Yes,Yes,Yes,Yes,Yes,Neither,Yes,Yes,Yes
317,Neither,Neither,No,Yes,Yes,Yes,Neither,Yes,No,Yes
318,Yes,Yes,No,Yes,Neither,No,Neither,Neither,Neither,Yes
319,Neither,No,No,Yes,No,No,Yes,No,No,Yes
320,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
321,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Yes,Neither,Yes
322,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
323,Yes,Yes,No,No,No,No,No,Yes,Neither,No
324,Yes,Yes,Neither,Yes,Yes,Neither,No,Yes,Yes,Yes
325,Yes,No,No,Neither,No,No,No,No,Neither,Yes
326,Yes,Neither,No,Neither,Neither,Yes,No,Yes,No,No
327,Yes,Yes,No,No,No,No,No,Neither,No,Neither
328,Yes,Yes,Yes,Yes,No,No,Neither,Yes,No,Yes
329,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
330,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
331,Yes,Yes,No,Neither,No,No,No,No,No,No
332,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
333,Yes,Neither,No,Yes,Neither,No,No,Neither,No,Neither
334,Neither,Neither,No,Yes,Neither,No,Yes,Yes,Neither,No
335,Yes,Neither,Yes,Yes,Yes,No,No,Neither,Yes,No
336,Neither,Yes,Neither,Yes,Yes,Yes,Yes,Neither,Yes,Neither
337,Yes,Neither,No,Yes,Neither,No,No,Yes,Yes,Yes
338,Yes,Yes,Neither,Yes,No,Yes,No,No,Yes,Yes
339,Neither,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
340,Yes,Yes,Neither,Yes,Yes,No,No,Yes,Yes,No
341,No,No,No,No,No,No,Neither,No,No,No
342,Yes,Yes,Neither,Yes,Yes,Yes,No,Yes,No,No
343,Yes,Yes,Neither,Yes,Yes,No,No,Neither,No,No
344,Yes,Yes,Neither,Yes,Yes,No,No,Yes,Yes,Yes
345,Yes,Neither,No,Yes,Yes,No,No,Yes,Neither,Yes
346,No,No,No,Neither,No,No,No,Neither,Neither,Yes
347,Yes,Yes,No,Yes,Yes,Yes,Neither,Neither,Yes,Yes
348,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
349,Neither,Neither,No,Neither,No,No,Neither,No,No,No
350,No,Neither,No,Yes,Yes,No,Yes,Neither,No,Yes
351,Yes,Yes,Yes,Yes,Yes,Neither,No,Yes,Yes,No
352,Neither,No,No,No,No,No,No,Neither,No,Neither
353,Yes,Yes,Yes,Yes,Yes,No,No,Neither,Yes,No
354,Yes,Yes,No,Yes,Neither,Yes,No,Yes,Neither,Yes
